"FileName","Coverage","Source","SRR_Illumina","SRR_Nanopore","StrainName","StandardizedName","GeographicOrigin","EcoOrigin","Country","Continent","PositionOnTree","Clade","SubClade"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404011_1.fastq.gz",99.22,"Goddard2021","SRR12404011","","CMDMDsf_F4","XTRA_FDK","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",640,"1. Wine","1.6 Wine 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404010_1.fastq.gz",122.73,"Goddard2021","SRR12404010","","CMVMVsf_F3","XTRA_FDL","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",641,"1. Wine","1.6 Wine 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404009_1.fastq.gz",119.62,"Goddard2021","SRR12404009","","CPEGIsf_C3","XTRA_FDM","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",630,"1. Wine","1.5 AU Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404008_1.fastq.gz",127.57,"Goddard2021","SRR12404008","","CRIRIsf_C2","XTRA_FDN","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",612,"1. Wine","1.5 AU Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404007_1.fastq.gz",104.67,"Goddard2021","SRR12404007","","CRIRIsf_H2","XTRA_FDO","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",614,"1. Wine","1.5 AU Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404006_1.fastq.gz",104.18,"Goddard2021","SRR12404006","","HPRMAsf_G6","XTRA_FDP","New Zealand, Hawke's Bay","Spontaneous Commercial Ferment","New Zealand","Oceania",249,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404005_1.fastq.gz",115.85,"Goddard2021","SRR12404005","","HTHESsf_D10","XTRA_FDQ","New Zealand, Hawke's Bay","Spontaneous Commercial Ferment","New Zealand","Oceania",250,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404004_1.fastq.gz",135.23,"Goddard2021","SRR12404004","","HTHESsf_G10","XTRA_FDR","New Zealand, Hawke's Bay","Spontaneous Commercial Ferment","New Zealand","Oceania",545,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404003_1.fastq.gz",136.81,"Goddard2021","SRR12404003","","HTHMAsf_A11","XTRA_FDS","New Zealand, Hawke's Bay","Spontaneous Commercial Ferment","New Zealand","Oceania",251,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404002_1.fastq.gz",159.66,"Goddard2021","SRR12404002","","HTHMAsf_H11","XTRA_FDT","New Zealand, Hawke's Bay","Spontaneous Commercial Ferment","New Zealand","Oceania",252,"1. Wine","1.1 NZ Wine 1"
